Feature,Importance
x_25,0.0010936881733851179
x_52,0.0010821658539375317
eye_lmk_Z_41,0.0010814658372756939
Z_34,0.0010776528855397781
eye_lmk_x_25,0.0010719892306754813
x_23,0.0010685273077112728
eye_lmk_Y_9,0.001054120263822282
eye_lmk_Z_46,0.0010334599239486108
y_27,0.0010291235720247542
X_38,0.0010197686996537918
Z_61,0.0010146713323213182
Z_24,0.0010061461974585136
Z_25,0.0010047679934348875
Z_50,0.0010024514954585782
Z_26,0.0010018438692637197
eye_lmk_Z_5,0.0009938383256965447
x_8,0.0009859176722817743
x_57,0.000982699884721516
p_8,0.0009808595476759035
eye_lmk_X_1,0.000980806646514238
X_57,0.0009760973805926703
Z_27,0.0009587293579872703
eye_lmk_x_19,0.0009547119211999968
eye_lmk_X_7,0.0009533677903445113
p_22,0.0009496249258104866
eye_lmk_X_2,0.0009493207190440718
eye_lmk_Z_17,0.0009402568513724827
eye_lmk_Y_19,0.0009396243584582444
eye_lmk_X_43,0.0009395553243769628
x_35,0.0009351325241867569
eye_lmk_x_26,0.0009314168414432184
eye_lmk_X_45,0.0009271415722619613
X_63,0.0009231901445404399
eye_lmk_Z_19,0.0009038400871189362
Z_19,0.0009029119915853257
X_56,0.0009019953324351827
Z_55,0.0009009512371778505
X_58,0.0008975710543143528
Z_18,0.0008879978818725974
eye_lmk_x_2,0.0008755029719750017
X_67,0.0008722524736043684
eye_lmk_Z_6,0.000869154033947806
x_58,0.000869091735903306
Z_2,0.0008686702595126741
eye_lmk_Z_40,0.0008684020059267186
eye_lmk_Y_14,0.0008674299236265825
eye_lmk_x_8,0.0008629215641688756
eye_lmk_X_36,0.0008619747787547457
eye_lmk_x_15,0.000847188802999601
X_48,0.0008434989552698435
X_50,0.0008318337261215143
Y_45,0.000831103765301878
p_31,0.0008280174845564748
Z_10,0.0008233856515479681
eye_lmk_y_30,0.0008229893722354159
AU04_r,0.0008217425845116748
X_24,0.0007948199430221413
Z_22,0.000777586406020936
eye_lmk_Y_16,0.0007773084942111697
eye_lmk_y_38,0.0007461379102791893
Z_21,0.000730656335839645
x_22,0.000729776887785012
eye_lmk_X_47,0.0006965414183531
y_25,0.0006908290324179601
Y_41,0.0006849925276542524
x_45,0.0006779927031456576
eye_lmk_y_32,0.0006649919107820501
X_59,0.0006627535933918222
eye_lmk_y_29,0.0006624142194219766
X_23,0.0006603432882496299
eye_lmk_Z_33,0.0006426752895695908
X_40,0.0006388947461778244
eye_lmk_y_52,0.0006343660848720067
eye_lmk_Z_32,0.0006312628887724142
eye_lmk_Z_8,0.0006299824478763909
eye_lmk_x_42,0.0006271475492447607
y_19,0.000610760382408562
X_36,0.0005974108507244634
Z_30,0.0005877604188551731
Y_16,0.0005853516957912342
y_43,0.0005831038138447204
p_29,0.0005816077345915381
p_18,0.0005769721562063526
Y_38,0.000571187453634365
y_15,0.0005659850716218498
eye_lmk_X_37,0.0005656815120753513
x_59,0.0005482053097349561
X_22,0.0005477506889842917
y_24,0.0005462889941593918
eye_lmk_Z_12,0.0005450652731737479
