Feature,Importance
eye_lmk_Y_38,0.0
eye_lmk_Y_37,0.0
eye_lmk_X_25,0.0
eye_lmk_X_26,0.0
eye_lmk_Y_36,0.0
eye_lmk_X_28,0.0
eye_lmk_X_15,0.0
eye_lmk_Y_48,0.0
eye_lmk_Y_49,0.0
eye_lmk_X_5,0.0
eye_lmk_Y_53,0.0
eye_lmk_y_41,0.0
eye_lmk_y_44,0.0
eye_lmk_y_50,0.0
eye_lmk_y_53,0.0
eye_lmk_y_55,0.0
eye_lmk_X_0,0.0
eye_lmk_X_1,0.0
eye_lmk_X_4,0.0
eye_lmk_X_6,0.0
eye_lmk_X_14,0.0
eye_lmk_Y_52,0.0
eye_lmk_X_52,0.0
eye_lmk_Y_51,0.0
eye_lmk_X_8,0.0
eye_lmk_X_9,0.0
eye_lmk_X_10,0.0
eye_lmk_X_11,0.0
eye_lmk_X_13,0.0
eye_lmk_Y_50,0.0
eye_lmk_X_29,0.0
eye_lmk_Y_35,0.0
eye_lmk_y_39,0.0
eye_lmk_X_31,0.0
eye_lmk_X_49,0.0
eye_lmk_Y_17,0.0
eye_lmk_Y_16,0.0
eye_lmk_Y_14,0.0
eye_lmk_Y_13,0.0
eye_lmk_Y_12,0.0
eye_lmk_Y_11,0.0
eye_lmk_Y_10,0.0
eye_lmk_Y_9,0.0
eye_lmk_Y_8,0.0
eye_lmk_Y_7,0.0
eye_lmk_Y_6,0.0
eye_lmk_Y_5,0.0
eye_lmk_Y_4,0.0
eye_lmk_Y_3,0.0
eye_lmk_X_50,0.0
eye_lmk_Y_2,0.0
eye_lmk_Y_1,0.0
eye_lmk_Y_0,0.0
eye_lmk_X_55,0.0
eye_lmk_X_51,0.0
eye_lmk_Y_18,0.0
eye_lmk_Y_19,0.0
eye_lmk_Y_20,0.0
eye_lmk_Y_29,0.0
eye_lmk_Y_34,0.0
eye_lmk_Y_33,0.0
eye_lmk_X_32,0.0
eye_lmk_X_33,0.0
eye_lmk_X_35,0.0
eye_lmk_X_36,0.0
eye_lmk_Y_31,0.0
eye_lmk_X_37,0.0
eye_lmk_Y_30,0.0
eye_lmk_X_39,0.0
eye_lmk_Y_21,0.0
eye_lmk_Y_28,0.0
eye_lmk_X_40,0.0
eye_lmk_Y_27,0.0
eye_lmk_Y_26,0.0
eye_lmk_Y_25,0.0
eye_lmk_X_45,0.0
eye_lmk_Y_24,0.0
eye_lmk_Y_23,0.0
eye_lmk_Y_22,0.0
eye_lmk_Y_54,0.0
eye_lmk_X_7,0.0
eye_lmk_Z_30,0.0
eye_lmk_y_12,0.0
eye_lmk_Z_15,0.0
eye_lmk_Z_16,0.0
eye_lmk_Z_17,0.0
eye_lmk_y_11,0.0
eye_lmk_y_10,0.0
eye_lmk_y_9,0.0
eye_lmk_y_5,0.0
eye_lmk_Z_20,0.0
eye_lmk_y_3,0.0
eye_lmk_Z_23,0.0
eye_lmk_Z_40,0.0
eye_lmk_x_23,0.0
eye_lmk_Z_37,0.0
eye_lmk_x_52,0.0
eye_lmk_Z_35,0.0
eye_lmk_x_43,0.0
eye_lmk_Z_29,0.0
eye_lmk_y_37,0.0
eye_lmk_Z_34,0.0
eye_lmk_x_27,0.0
eye_lmk_x_41,0.0
eye_lmk_x_40,0.0
eye_lmk_x_39,0.0
eye_lmk_x_36,0.0
eye_lmk_Z_31,0.0
eye_lmk_Z_12,0.0
eye_lmk_x_19,0.0
eye_lmk_x_34,0.0
eye_lmk_Z_42,0.0
eye_lmk_Z_4,0.0
eye_lmk_Z_5,0.0
eye_lmk_x_0,0.0
gaze_angle_y,0.0
eye_lmk_Z_1,0.0
eye_lmk_Z_45,0.0
gaze_angle_x,0.0
gaze_1_z,0.0
eye_lmk_x_7,0.0
gaze_1_y,0.0
eye_lmk_y_24,0.0
eye_lmk_Z_9,0.0
gaze_0_z,0.0
eye_lmk_y_18,0.0
eye_lmk_y_19,0.0
eye_lmk_Z_7,0.0
eye_lmk_x_10,0.0
eye_lmk_x_13,0.0
eye_lmk_y_32,0.0
gaze_1_x,0.0
eye_lmk_X_43,-0.0024271844660194164
eye_lmk_X_42,-0.0024271844660194164
Y_23,-0.0024271844660194164
eye_lmk_x_31,-0.0024271844660194164
Y_21,-0.0024271844660194164
Y_40,-0.0024271844660194164
eye_lmk_X_41,-0.0024271844660194164
eye_lmk_x_28,-0.0024271844660194164
eye_lmk_x_26,-0.0024271844660194164
eye_lmk_x_30,-0.0024271844660194164
eye_lmk_X_38,-0.0024271844660194164
eye_lmk_X_44,-0.0024271844660194164
eye_lmk_x_14,-0.0024271844660194164
Y_34,-0.0024271844660194164
eye_lmk_x_25,-0.0024271844660194164
eye_lmk_x_12,-0.0024271844660194164
Y_24,-0.0024271844660194164
eye_lmk_x_17,-0.0024271844660194164
eye_lmk_x_11,-0.0024271844660194164
eye_lmk_x_18,-0.0024271844660194164
eye_lmk_x_32,-0.0024271844660194164
eye_lmk_x_21,-0.0024271844660194164
